212,342;5,211
209,517;6,881
205,987;8,699
201,061;10,104
195,291;11,568
196,110;13,446
193,290;14,670
191,158;16,956
189,722;19,634
191,804;21,481
189,908;23,637
187,544;25,793
182,927;26,379
178,397;28,102
172,773;29,153
167,841;31,017
163,611;32,747
159,382;34,452
155,153;36,156
146,708;38,430
142,476;40,377
137,552;41,596
131,921;43,205
127,918;45,488
129,770;47,055
131,150;48,901
133,935;50,638
130,417;51,525
124,790;52,855
119,160;54,352
115,625;56,635
121,910;58,993
127,512;59,730
133,111;60,746
135,185;63,202
140,074;64,949
142,158;66,591
137,230;68,127
131,606;69,178
125,978;70,507
120,352;71,781
114,728;72,832
109,103;73,938
109,064;77,121
113,965;77,913
114,641;79,981
109,014;81,311
120,209;83,566
125,108;84,432
129,282;87,270
126,457;88,903
121,530;90,328
115,907;91,266
110,742;93,006
115,861;95,064
121,462;95,913
125,664;96,424
132,661;97,890
138,258;99,017
139,412;100,323
134,716;101,952
130,835;103,825
129,054;106,112
126,920;108,603
128,986;111,735
133,171;113,698
135,251;115,657
131,030;116,654
125,406;117,704
119,773;119,537
114,150;120,475